,party,positive,neutral,negative,positive_rank,neutral_rank,negative_rank,session
0,AfD,0.25,0.71875,0.03125,2.0,2.0,5.0,19001
1,DIE LINKE,0.2564102564102564,0.6153846153846154,0.1282051282051282,1.0,5.0,1.0,19001
2,CDU/CSU,0.24528301886792453,0.660377358490566,0.09433962264150944,3.0,4.0,3.0,19001
3,FDP,0.1865671641791045,0.746268656716418,0.06716417910447761,4.0,1.0,4.0,19001
4,SPD,0.16326530612244897,0.7142857142857143,0.12244897959183673,5.0,3.0,2.0,19001
5,BÜNDNIS 90/DIE GRÜNEN,0.0,0.0,0.0,6.0,6.0,6.0,19001
6,AfD,0.21841541755888652,0.6745182012847966,0.10706638115631692,5.0,3.0,3.0,19002
7,DIE LINKE,0.19066937119675456,0.5740365111561866,0.23529411764705882,6.0,6.0,1.0,19002
8,CDU/CSU,0.234192037470726,0.6814988290398126,0.08430913348946135,3.0,1.0,5.0,19002
9,FDP,0.313588850174216,0.6097560975609756,0.07665505226480836,1.0,4.0,6.0,19002
10,BÜNDNIS 90/DIE GRÜNEN,0.22058823529411764,0.6764705882352942,0.10294117647058823,4.0,2.0,4.0,19002
11,SPD,0.2867132867132867,0.5856643356643356,0.12762237762237763,2.0,5.0,2.0,19002
12,AfD,0.21613832853025935,0.6858789625360231,0.09798270893371758,4.0,1.0,4.0,19003
13,DIE LINKE,0.19491525423728814,0.5677966101694916,0.23728813559322035,6.0,6.0,1.0,19003
14,CDU/CSU,0.22906793048973143,0.6540284360189573,0.11690363349131122,3.0,3.0,3.0,19003
15,FDP,0.25728155339805825,0.6650485436893204,0.07766990291262135,2.0,2.0,6.0,19003
16,BÜNDNIS 90/DIE GRÜNEN,0.1949685534591195,0.6352201257861635,0.16981132075471697,5.0,4.0,2.0,19003
17,SPD,0.3132075471698113,0.5924528301886792,0.09433962264150944,1.0,5.0,5.0,19003
18,AfD,0.23462414578587698,0.6605922551252847,0.10478359908883828,4.0,1.0,4.0,19004
19,DIE LINKE,0.15053763440860216,0.6408602150537634,0.2086021505376344,6.0,2.0,1.0,19004
20,CDU/CSU,0.2688588007736944,0.6266924564796905,0.10444874274661509,2.0,5.0,5.0,19004
21,FDP,0.27972027972027974,0.6363636363636364,0.08391608391608392,1.0,4.0,6.0,19004
22,BÜNDNIS 90/DIE GRÜNEN,0.21468926553672316,0.6384180790960452,0.14689265536723164,5.0,3.0,2.0,19004
23,SPD,0.2636103151862464,0.6045845272206304,0.1318051575931232,3.0,6.0,3.0,19004
24,AfD,0.23076923076923078,0.6520979020979021,0.11713286713286714,3.0,1.0,5.0,19005
25,DIE LINKE,0.1694915254237288,0.6271186440677966,0.2033898305084746,6.0,4.0,1.0,19005
26,CDU/CSU,0.2737940026075619,0.6166883963494133,0.10951760104302477,1.0,5.0,6.0,19005
27,FDP,0.24233128834355827,0.6134969325153374,0.1441717791411043,2.0,6.0,2.0,19005
28,BÜNDNIS 90/DIE GRÜNEN,0.21428571428571427,0.6483516483516484,0.13736263736263737,5.0,2.0,3.0,19005
29,SPD,0.2273342354533153,0.6468200270635994,0.12584573748308525,4.0,3.0,4.0,19005
30,AfD,0.37037037037037035,0.5555555555555556,0.07407407407407407,1.0,6.0,3.0,19006
31,DIE LINKE,0.16326530612244897,0.7346938775510204,0.10204081632653061,5.0,3.0,2.0,19006
32,CDU/CSU,0.17647058823529413,0.8235294117647058,0.0,4.0,2.0,6.0,19006
33,FDP,0.14285714285714285,0.8285714285714286,0.02857142857142857,6.0,1.0,5.0,19006
34,BÜNDNIS 90/DIE GRÜNEN,0.22093023255813954,0.6627906976744186,0.11627906976744186,3.0,4.0,1.0,19006
35,SPD,0.3333333333333333,0.625,0.041666666666666664,2.0,5.0,4.0,19006
36,AfD,0.21143617021276595,0.6648936170212766,0.12367021276595745,6.0,1.0,3.0,19007
