,party,positive,neutral,negative,positive_rank,neutral_rank,negative_rank,session
582,AfD,0.185714285714286,0.703571428571429,0.110714285714286,6,2,4,19100
583,DIE LINKE,0.206422018348624,0.610091743119266,0.18348623853211,5,4,1,19100
584,CDU/CSU,0.304964539007092,0.583924349881797,0.111111111111111,2,6,3,19100
585,FDP,0.209059233449477,0.714285714285714,0.076655052264808,4,1,6,19100
586,BÜNDNIS 90/DIE GRÜNEN,0.209677419354839,0.645161290322581,0.145161290322581,3,3,2,19100
587,SPD,0.338164251207729,0.584541062801932,0.077294685990338,1,5,5,19100
588,AfD,0.190260475651189,0.685164212910532,0.124575311438279,6,1,3,19101
589,DIE LINKE,0.221428571428571,0.56,0.218571428571429,4,6,1,19101
590,CDU/CSU,0.26946933149552,0.64920744314266,0.08132322536182,1,3,6,19101
591,FDP,0.24869109947644,0.649214659685864,0.102094240837696,3,2,4,19101
592,BÜNDNIS 90/DIE GRÜNEN,0.204697986577181,0.62751677852349,0.167785234899329,5,5,2,19101
593,SPD,0.267075978511128,0.637759017651573,0.095165003837299,2,4,5,19101
594,AfD,0.212290502793296,0.655493482309125,0.132216014897579,3,2,3,19102
595,DIE LINKE,0.193661971830986,0.616197183098592,0.190140845070423,5,5,2,19102
596,CDU/CSU,0.274178403755869,0.646009389671361,0.07981220657277,1,3,6,19102
597,FDP,0.207293666026871,0.704414587332054,0.088291746641075,4,1,5,19102
598,BÜNDNIS 90/DIE GRÜNEN,0.140625,0.609375,0.25,6,6,1,19102
599,SPD,0.252903225806452,0.628387096774194,0.118709677419355,2,4,4,19102
600,AfD,0.156976744186046,0.674418604651163,0.168604651162791,5,3,2,19103
601,DIE LINKE,0.214285714285714,0.595238095238095,0.190476190476191,4,6,1,19103
602,CDU/CSU,0.267605633802817,0.676056338028169,0.056338028169014,2,2,5,19103
603,FDP,0.301204819277108,0.626506024096386,0.072289156626506,1,5,3,19103
604,BÜNDNIS 90/DIE GRÜNEN,0.147058823529412,0.803921568627451,0.049019607843137,6,1,6,19103
605,SPD,0.265625,0.666666666666667,0.067708333333333,3,4,4,19103
